Archivaliensignatur,Datierung von(Zahl),Datierung bis(Zahl),Datierung (Text),Klassifikationsgruppe,Aktentitel,Enthält-Vermerk,Umfang der Akte (Blattzahl),Sortierfeld (intern)
F 10357,19370101,19501231,1937 - 1950,13.26 Firmen W,"Westfälische Vereinsdruckerei Akt.-Ges. vorm. Coppenrathsche Buchdruckerei, Direktor Wilhelm Schmitz, Münster",,43 Bl.,Westfälische Vereinsdruckerei
F 10358,19370101,19491231,1937 - 1949,13.26 Firmen W,"Westhoff'sche Buchhandlung, M., Musikalien-, Papier- und Schreibwarenhandlung, Inhaber Fritz Vollmer, Essen",,31 Bl.,"Westhoffsche Buchhandlung, M."
F 10359,19370101,19501231,1937 - 1950,13.26 Firmen W,"Westholsteinische Verlagsanstalt und Verlagsdruckerei Boyens & Co. vorm. Heider Anzeiger G.m.b.H., Pers. haft. Ges. Max Boyens, Heide",,19 Bl.,Westholsteinische Verlagsanstalt
F 10360,19360101,19441231,1936 - 1944,13.26 Firmen W,"Westkreuz Druckerei und Verlag G.m.b.H., Geschäftsführer Karl Wilhelm Ahrens, Berlin",,17 Bl.,Westkreuz Druckerei und Verlag
F 10361,19360101,19441231,1936 - 1944,13.26 Firmen W,"Westmark-Verlag G.m.b.H., Buch- und Zeitschriftenverlag, Geschäftsführer Adolf Hörner, später Dr. Kurt Schmidt, Neustadt an der Weinstrasse",,47 Bl.,Westmark-Verlag
F 10362,19370101,19481231,1937 - 1948,13.26 Firmen W,"West-Ost-Buchversand Karl Gruß, Woltersdorf",,16 Bl.,West-Ost-Buchversand
F 10363,19370101,19521231,1937 - 1952,13.26 Firmen W,"West-Ost-Verlag Werner Jöhren, Buch- und Zeitschriftenverlag, Berlin, später Seebad Heringsdorf",,44 Bl.,West-Ost-Verlag 
F 10364,19350101,19371231,1935 - 1937,13.26 Firmen W,"Westphal, Eduard, Zeitschriften-Buchhandlung, Briest (Havel)",,6 Bl.,"Westphal, Eduard"
F 10365,19370101,19491231,1937 - 1949,13.26 Firmen W,"Westphal, Hilde, Bücherstube, Inhaberin Erna Pfeil, Berlin ",,35 Bl.,"Westphal, Hilde"
F 10366,19370101,19431231,1937 - 1943,13.26 Firmen W,"Westphal, Paul, Musikalienverlag, Berlin ",,8 Bl.,"Westphal, Paul"
F 10367,19330101,19451231,1933 - 1945,13.26 Firmen W,"Westphal, Eduard, Zeitschriften-Buchhandlung, Prokurist Hermann Jaekel, Danzig",,37 Bl.,"Westphal, Eduard"
F 10368,19370101,19421231,1937 - 1942,13.26 Firmen W,"Westphal, Walther H., Reise- und Versandbuchhandlung, Hamburg",,6 Bl.,"Westphal, Walther H."
F 10369,19370101,19491231,1937 - 1949,13.26 Firmen W,"Westphal, Friedrich, ""Reflex""-Lehrmittelverlag, Buch- und Schreibwarenhandlung, Klein-Machnow, später Schwerin",,10 Bl.,"Westphal, Friedrich"
F 10370,19370101,19491231,1937 - 1949,13.26 Firmen W,"Westphal, H., Buch- und Kunsthandlung, Buchdruckerei, Buchbinderei, Inhaber Bruno Westphal, Neumünster",,7 Bl.,"Westphal, H."
F 10371,19350101,19441231,1935 - 1944,13.26 Firmen W,"Westphal, B., Buch- und Musikalienhandlung, Papierhandlung, Druckerei, Inhaber Franz Westphal, Thorn (Torun, Polen)",,29 Bl.,"Westphal, B."
F 10372,19300101,19491231,1930 - 1949,13.26 Firmen W,"Westphal, Franz, Buch- und Zeitschriftenverlag, Inhaber Carl J. H. Westphal, Wolfshagen-Scharbeutz",,50 Bl.,"Westphal, Franz"
F 10373,19370101,19491231,1937 - 1949,13.26 Firmen W,"Westphal Buch-Gesellschaft m.b.H., Verlags-, Reise- und Versandbuchhandlung, Geschäftsführer Carl J. H., später Joachim Westphal, Wolfshagen-Scharbeutz",,20 Bl.,Westphal Buch-Gesellschaft
F 10374,19370101,19491231,1937 - 1949,13.26 Firmen W,"Westphalen, August, Sortimentsbuchhandlung, Bücherstube, Kunstgewerbe, Inhaberin Anna verw. Westphalen, Flensburg",,13 Bl.,"Westphalen, August"
F 10375,19320101,19401231,1932 - 1940,13.26 Firmen W,"Westschlesische Verlags- und Versandbuchhandlung Arthur Czaja und Heinrich Hink, Inhaber Arthur Czaja, Jägerndorf",,7 Bl.,Westschlesische Verlags- und Versandbuchhandlung
F 10376,19370101,19491231,1937 - 1949,13.26 Firmen W,"Weststadt-Buchhandlung Ernst Lützerath, Buch-, Schulbuch-, Lehr- und Lernmittelhandlung, Karlsruhe",,23 Bl.,Weststadt-Buchhandlung Karlsruhe
F 10377,19350101,19441231,1935 - 1944,13.26 Firmen W,"De Wetenschappelijke Boekhandel (v.h. D. B. Centen's Wetenschappelijke Boekhandel), Buchhandlung und Antiquariat, später Dekker en Nordemann's Wetenschappelijke Boekhandel, Amsterdam (Niederlande)",,55 Bl.,Wetenschappelijke Boekhandel De Amsterdam
F 10378,19370101,19371231,1937,13.26 Firmen W,"Wettergren & Kerbers Bokhandels A.-B., Buchhandlung und Schwedisches Sortiment, Direktor Volmar Wettergren, Gothenburg (Göteborg, Schweden)",,3 Bl.,Wettergren & Kerber
F 10379,19370101,19681231,1937 - 1968,13.26 Firmen W,"Wetzel, Eg., Katholische Buch- und Kunsthandlung, Inhaber Eduard Wetzel, später Joseph Hahn, Dingelstädt",,67 Bl.,"Wetzel, Eg."
F 10381,19340101,19431231,1934 - 1943,13.26 Firmen W,"Wetzler, Em., Musikalienhandlung und Verlag, Inhaber Stanislaus, später Engelbert Hrubý, Prag (Tschechien)",,30 Bl.,"Wetzler, Em."
F 10382,19360101,19491231,1936 - 1949,13.26 Firmen W,"Weyers-Wostry, Buchhandlung, Inhaberin Frau Engelbert Wostry, Aachen",,17 Bl.,Weyers-Wostry
F 10384,19280101,19371231,1928 - 1937,13.26 Firmen W,"Weyhe, E., Kunst-Antiquariat, Buchhandlung, Kunstverlag, Inhaber Erhard Weyhe, New York (USA)",,4 Bl.,"Weyhe, Erhard "
F 10385,19370101,19491231,1937 - 1949,13.26 Firmen W,"Weyhmann, Alexander, Buchhandlung und Antiquariat, Königstein (Elbe)",,13 Bl.,"Weyhmann, Alexander"
F 10386,19410101,19411231,1941,13.26 Firmen W,"Weytingh & Brave, Buchhandlung, Inhaber P. C. Rampen, Amsterdam (Niederlande)",,6 Bl.,Weytingh & Brave
F 10387,19360101,19491231,1936 - 1949,13.26 Firmen W,"Wezel & Naumann A.-G., Lithographische Kunstanstalt, Vorstand Direktor Carl Wilhelm Eckhardt und Direktor Karl Fritsch, Leipzig",,27 Bl.,Wezel & Naumann
F 10388,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wezorke, Fritz, Buchhandlung, Stuttgart",,16 Bl.,"Wezorke, Fritz"
F 10389,19380101,19411231,1938 - 1941,13.26 Firmen W,"Whitaker & Sons Ltd., J., (Whitaker's Reference Catalogue of Current Literature), London (Großbritannien)","Enthält u. a.: Mitteilung zur Streichung der Firma eines ""Feindstaates"" aus dem Adressbuch vom 6. November 1941",2 Bl.,Whitaker & Sons
F 10390,19340101,19431231,1934 - 1943,13.26 Firmen W,"Wicentowicz, Stefan, Buchhandlung, Czernowitz (Cernauti, Rumänien)",,68 Bl.,"Wicentowicz, Stefan"
F 10391,19370101,19461231,1937 - 1946,13.26 Firmen W,"Wichern-Buchhandlung G.m.b.H., Sortiment und Verlag, Königsberg und Elbing",,17 Bl.,Wichern-Buchhandlung
F 10392,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wichern-Verlag G.m.b.H., Verlag, Geschäftsführer Emil Winter, später Wichern-Verlag Herbert Renner K.G., Berlin",,61 Bl.,Wichern-Verlag
F 10393,19360101,19491231,1936 - 1949,13.26 Firmen W,"Wichert Inhaber Paul Burckhardt Verlagsanstalt ""Soll und Haben"", Reinhold, Verlagsbuchhandlung, Inhaber Paul Burckhardt und Dr. Alfred Hubrich, Berlin",,35 Bl.,"Wichert, Reinhold"
F 10394,19370101,19511231,1937 - 1951,13.26 Firmen W,"Wichmann, Herbert, Verlag, Berlin, später Bad Liebenwerda",,29 Bl.,"Wichmann, Herbert"
F 10395,19310101,19411231,1931 - 1941,13.26 Firmen W,"Wichtrey, Erwin, Buch-, Kunst-, Musikalien- und Papierhandlung, Antiquariat, Zeitschriftenvertrieb, Eulau",,23 Bl.,"Wichtrey, Erwin"
F 10397,19370101,19591231,1937 - 1959,13.26 Firmen W,"Wicke, Werner, Buch-, Kunst- und Musikalienhandlung, Wuppertal, später Leipzig",,37 Bl.,"Wicke, Werner"
F 10398,19370101,19561231,1937 - 1956,13.26 Firmen W,"Widerstands-Verlag Anna Niekisch, Berlin ",,21 Bl.,Widerstands-Verlag Berlin
F 10399,19370101,19421231,1937 - 1942,13.26 Firmen W,"Widmann's Centralbuchhandlung und Grossantiquariat, S., Czernowitz (Cernauti, Rumänien)",,9 Bl.,"Widmanns Centralbuchhandlung, Saul"
F 10400,19340101,19431231,1934 - 1943,13.26 Firmen W,"Widmer, Hans, Musikverlag, Schweizer Bühnenvertrieb, St. Gallen (Schweiz)",,61 Bl.,"Widmer, Hans"
F 10401,19370101,19461231,1937 - 1946,13.26 Firmen W,"Widukind-Verlag Alexander Boss, Berlin",,11 Bl.,Widukind-Verlag Berlin
F 10402,19360101,19441231,1936 - 1944,13.26 Firmen W,"Wiebe, Emil, Buch-, Kunst- und Musikalienhandlung, Inhaber Heinz Frenzel, Lyck",,29 Bl.,"Wiebe, Emil"
F 10403,19370101,19411231,1937 - 1941,13.26 Firmen W,"Wiebe, Aron, Buch- und Papierhandlung, Inhaber Geschwister Wiebe, Tiegenhof",,13 Bl.,"Wiebe, Aron"
F 10404,19340101,19491231,1934 - 1949,13.26 Firmen W,"Wiebelt, F. K., Buch-, Kunst- und Papierhandlung, Bürobedarf, Inhaber Franz Karl Wiebelt, Villingen",,27 Bl.,"Wiebelt, Franz Karl "
F 10405,19370101,19501231,1937 - 1950,13.26 Firmen W,"Wiechmann, Hermann A., Buch- und Kunstverlag, Inhaberin Wwe. Anna Wiechmann, München, später Starnberg",,11 Bl.,"Wiechmann, Hermann A."
F 10406,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wiechmann's Buchhandlung Georg Holzberg, A., Buch- und Papierhandlung, Oldenburg",,16 Bl.,"Wiechmann's Buchhandlung, A."
F 10407,19370101,19431231,1937 - 1943,13.26 Firmen W,"Wieczorek, Ella, Buch-, Papier- und Zeitschriftenhandlung, Hindenburg",,9 Bl.,"Wieczorek, Ella"
F 10408,19370101,19481231,1937 - 1948,13.26 Firmen W,"Wiede, Alexander, Bücher, Bürobedarf, Papierhandlung, Spielwaren, Inhaber Franz Köhler, Chemnitz",,37 Bl.,"Wiede, Alexander"
F 10409,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wiedemann, Arthur, Buchhandlung und Antiquariat, Bremen",,34 Bl.,"Wiedemann, Arthur"
F 10410,19370101,19501231,1937 - 1950,13.26 Firmen W,"Wiedemann, Wilhelm, Reise- und Versandbuchhandlung, Düsseldorf",,12 Bl.,"Wiedemann, Wilhelm"
F 10411,19410101,19511231,1941 - 1951,13.26 Firmen W,"Wiedemann, Paul, Buch- und Papierhandlung, Inhaber Hugo Schmieder, Neustrelitz-Strelitz",,28 Bl.,"Wiedemann, Paul"
F 10412,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wiedling, Hans, Buch-, Musikalien- und Instrumentenhandlung, Berlin",,14 Bl.,"Wiedling, Hans"
F 10413,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wiefels, Maria, Buchhandlung, Kamp-Lintfort",,6 Bl.,"Wiefels, Maria"
F 10414,19370101,19411231,1937 - 1941,13.26 Firmen W,"Wiegand Inhaber Heinrich Wiegand, Valentin, Buch-, Musikalien- und Schreibwarenhandlung, Borken",,13 Bl.,"Wiegand, Valentin"
F 10415,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wiegand, F. & K., Fachbuchhandlung, Reise- und Versandbuchhandlung, Inhaber Ferdinand und Karl Wiegand, Essen",,8 Bl.,"Wiegand, Ferdinand und Karl "
F 10416,19360101,19491231,1936 - 1949,13.26 Firmen W,"Wiegand Inhaber Kurt Wiegand, Fr., Buch-, Kunst-, Musikalien- und Papierhandlung, Bürobedarf, Holzminden",,9 Bl.,"Wiegand, Fr."
F 10417,19370101,19501231,1937 - 1950,13.26 Firmen W,"Wiegand Inhaber Heinrich Wiegand, Valentin, Buch-, Musikalien- und Papierhandlung, Buchbinderei, Homberg",,21 Bl.,"Wiegand, Valentin"
F 10418,19370101,19501231,1937 - 1950,13.26 Firmen W,"Wiegand, Walter, Buchhandlung und Verlag, Oberursel",,21 Bl.,"Wiegand, Walter"
F 10419,19370101,19431231,1937 - 1943,13.26 Firmen W,"Wiegandt & Grieben Inhaber Max Stadthagen, Verlag und Sortiment, Berlin",,12 Bl.,Wiegandt & Grieben
F 10420,19370101,19721231,1937 - 1972,13.26 Firmen W,"Wiegandt, Dr. Ernst, Verlagsbuchhandlung, Inhaber Arndt Wiegandt, Leipzig",,19 Bl.,"Wiegandt, Ernst Dr. "
F 10421,19370101,19711231,1937 - 1971,13.26 Firmen W,"Wiegel, Ernst, Buchhandlung, Inhaberin Hedwig verw. Wiegel, Eilenburg",,32 Bl.,"Wiegel, Ernst"
F 10422,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wiegelmann, Karl, Buchhandlung und Kunstgewerbe, Murnau",,10 Bl.,"Wiegelmann, Karl"
F 10423,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wielands Nachf., R., Buch-, Musikalien- und Schreibwarenhandlung, Inhaber Max Neumayr, Ludwigsburg",,5 Bl.,"Wielands Nachf., R."
F 10425,19370101,19421231,1937 - 1942,13.26 Firmen W,"Wiene, Emil, Reise- und Versandbuchhandlung, Verlag, Inhaber Sören Wiene, Kopenhagen (Dänemark)",,4 Bl.,"Wiene, Emil"
F 10426,19320101,19391231,1932 - 1939,13.26 Firmen W,"Wiener, E., Buchhandlung, Verlag und Antiquariat, Inhaberin Eva Wiener, Kattowitz (Katowice, Polen)",,23 Bl.,"Wiener, Eva"
F 10427,19310101,19411231,1931 - 1941,13.26 Firmen W,"Wiener, Ernst, Buchhandlung, Pressburg (Bratislava, Slovakei)",,55 Bl.,"Wiener, Ernst"
F 10428,19370101,19411231,1937 - 1941,13.26 Firmen W,"Wiener Bohème-Verlag G.m.b.H., Musikalienverlag und -Vertrieb, Geschäftsführer Wilhelm Schaefer und Fritz Kuhnert, Berlin",,10 Bl.,Wiener Bohème-Verlag
F 10429,19320101,19421231,1932 - 1942,13.26 Firmen W,"Wiener Operettenverlag Gesellschaft m.b.H., Geschäftsführer Hugo Winter und Dr. Alfred Kalmus, Wien (Österreich)",,18 Bl.,Wiener Operettenverlag
F 10430,19370101,19421231,1937 - 1942,13.26 Firmen W,"Wiener Philharmonischer Verlag A.-G., Musikverlag und Bühnenvertrieb, Direktoren Dr. Alfred Kalmus und Dr. Ernst Roth, Wien (Österreich)",,17 Bl.,Wiener Philharmonischer Verlag
F 10431,19370101,19461231,1937 - 1946,13.26 Firmen W,"Wienholz's Antiquariat, C., Inhaber Adolf Wienholz, Dresden",,11 Bl.,"Wienholz's Antiquariat, C."
F 10432,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wieprecht, Susanna, Buch-, Papier- und Schreibwarenhandlung, Eberbach",,7 Bl.,"Wieprecht, Susanna"
F 10433,19370101,19381231,1937 - 1938,13.26 Firmen W,"Wiersma (früher Felix P. Abrahamson), S., Buch- und Kunsthandlung, später ""De moderne Boekhandel"", Amsterdam (Niederlande)",,5 Bl.,"Wiersma, S."
F 10434,19370101,19531231,1937 - 1953,13.26 Firmen W,"Wierth, M. L., Buch-, Kunst- und Papierhandlung, Inhaber Lucie Baron und Ida Kikill, Güstrow",,22 Bl.,"Wierth, M. L."
F 10435,19370101,19371231,"1937, 1948",13.26 Firmen W,"Wierth's Nachf. Inhaber Kurt Bouvier, M. L., Buch-, und Papierhandlung, Waren",,8 Bl.,"Wierth's Nachf., M. L."
F 10436,19370101,19391231,1937 - 1939,13.26 Firmen W,"Wiese, Richard, Buchhandlung und Antiquariat, Inhaber Reinhold Wiese, Berlin",,8 Bl.,"Wiese, Richard"
F 10438,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wiesemann & Co., Grossobuchhandlung und Grossantiquariat, Inhaber Georg Wiesemann d. J., Wuppertal-Barmen, später Dortmund",,10 Bl.,Wiesemann & Co.
F 10439,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wiesemüller, Chr., Buch-, Kunst-, Musikalien- und Schreibwarenhandlung, Inhaber Hans Lange, Heiligenstadt",,57 Bl.,"Wiesemüller, Chr."
F 10440,19370101,19411231,1937 - 1941,13.26 Firmen W,"Wiesemüller, Martin, Buch- und Schreibwarenhandlung, Rothenburg (Fulda)",,23 Bl.,"Wiesemüller, Martin"
F 10441,19370101,19481231,1937 - 1948,13.26 Firmen W,"Wiesike, J., Verlag, Buch- und Kunstdruckerei, Zeitungsverlag, Inhaber Friedrich Cramer, Brandenburg (Havel)",,11 Bl.,"Wiesike, J."
F 10442,19370101,19391231,1937 - 1939,13.26 Firmen W,"Wiesmann, Aug., Buchhandlung, Ragnit",,10 Bl.,"Wiesmann, August"
F 10443,19300101,19521231,1930 - 1952,13.26 Firmen W,"Wiest Nachf. Verlagsbuchhandlung, Ernst, Inhaber Ernst Krause und Heinrich Killinger, Leipzig und Nordhausen",,34 Bl.,"Wiest Nachf., Ernst"
F 10444,19370101,19441231,1937 - 1944,13.26 Firmen W,"Wiethoff, Jos., Buch- und Papierhandlung, Buchdruckerei und Buchbinderei, Altenhundem",,6 Bl.,"Wiethoff, Josef"
F 10445,19370101,19571231,1937 - 1957,13.26 Firmen W,"Wigand, Georg, Verlagsbuchhandlung, Inhaber E. H. C. Lange und P. Meuche, Leipzig",,16 Bl.,"Wigand, Georg"
F 10446,19370101,19481231,1937 - 1948,13.26 Firmen W,"Wigandsche Verlagsbuchhandlung, Georg H., Inhaber E. H. C. Lange und P. Meuche, Leipzig",,9 Bl.,"Wigandsche Verlagsbuchhandlung, Georg H."
F 10447,19360101,19511231,1936 - 1951,13.26 Firmen W,"Wigand, Otto, Verlags- und Versandbuchhandlung, Inhaber Wilh. Wollbrück, Leipzig",,23 Bl.,"Wigand, Otto"
F 10448,19370101,19501231,1937 - 1950,13.26 Firmen W,"Wiking-Verlag G.m.b.H., Zeitschriften- und Buchverlag, Inhaber Franz Ludwig Habbel, Berlin, später Regensburg",,14 Bl.,Wiking-Verlag Berlin
F 10449,19320101,19391231,1932 - 1939,13.26 Firmen W,"Wila-Verlag (Wiener Literarische Anstalt) Kurt Fiedler, Wien (Österreich)",,9 Bl.,Wila-Verlag Wien
F 10450,19370101,19601231,1937 - 1960,13.26 Firmen W,"Wilcke, Herbert, Reise- und Versandbuchhandlung, Magdeburg, später Loburg",,55 Bl.,"Wilcke, Herbert"
F 10451,19370101,19451231,1937 - 1945,13.26 Firmen W,"Wilckens, L., Buchhandlung und Antiquariat, Inhaber Dr. Hermann Ehrlich, Mainz",,21 Bl.,"Wilckens, L."
F 10452,19290101,19491231,1929 - 1949,13.26 Firmen W,"Wild, Constantin, Hofbuchhandlung, Buch- und Kunsthandlung, Inhaber Dr. Albrecht Moser, Baden-Baden",,35 Bl.,"Wild, Constantin"
F 10453,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wild, Johann, Buchhandlung und Zeitschriftenvertrieb, Inhaber Max Wild, München",,8 Bl.,"Wild, Johann"
F 10454,19380101,19441231,1938 - 1944,13.26 Firmen W,"Wild, Rudolf, Buchhandlung und Zeitschriftenvertrieb, Inhaberin Therese Wild, Wien (Österreich)",,20 Bl.,"Wild, Rudolf"
F 10455,19360101,19491231,1936 - 1949,13.26 Firmen W,"Wilde, Ludwig, Buch- und Papierhandlung, Inhaber Heinrich Wilde, Berlin",,23 Bl.,"Wilde, Ludwig"
F 10456,19370101,19391231,1937 - 1939,13.26 Firmen W,"The A. E. Wilde Co., Buch- und Kunsthandlung, Inhaberin Doris Wilde, Prokurist Christoph Klausfelder, später Ellen-Anna Wilde, Cincinnati (USA)",,6 Bl.,"Wilde Co., A. E. The "
F 10457,19490101,19491231,1949,13.26 Firmen W,"Wildenberg, Theodor, Sortiments-, Musikalien-, Kunst-, Zeitschriften- und Schreibwarenhandlung, Inhaber Gertrud, Elisabeth und Franz Wildenberg, Linnich",,2 Bl.,"Wildenberg, Theodor"
F 10458,19370101,19481231,1937 - 1948,13.26 Firmen W,"Wildenhayn, Walter, Lehrmittelhandlung, Leipzig, später Holzhausen",,14 Bl.,"Wildenhayn, Walter"
F 10459,19370101,19371231,1937,13.26 Firmen W,"Wildt's Musikverlag Franz und Joseph Wildt, Dortmund",,4 Bl.,Wildt's Musikverlag Dortmund
F 10460,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wildt, Hermann, Buchhandlung, Inhaberin Charlotte verw. Wildt, Stuttgart",,22 Bl.,"Wildt, Hermann"
F 10461,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wildt Nachf. Inhaber Peter Rech, Buch- und Zeitschriftenhandlung, Sulzbach (Saar)",,16 Bl.,Wildt Nachf.
F 10462,19370101,19511231,1937 - 1951,13.26 Firmen W,"Wildunger Buch- und Kunsthandlung Oskar Reiske, Bad Wildungen",,9 Bl.,Wildunger Buch- und Kunsthandlung
F 10463,19370101,19511231,1937 - 1951,13.26 Firmen W,"Wilhalm, Paul, Buch-, Zeitschriften- und Papierhandlung, Berlin",,12 Bl.,"Wilhalm, Paul"
F 10464,19370101,19501231,1937 - 1950,13.26 Firmen W,"Wilhelm Verlag, Reise- und Versandbuchhandlung G.m.b.H., Friedrich, Geschäftsführer Herbert Böttcher, Leipzig, später Endschütz",,47 Bl.,"Wilhelm Verlag, Friedrich"
F 10465,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wilhelm Meister-Verlag G.m.b.H., Geschäftsführer C. H. M. Zander, Berlin, später Schmiedeberg",,13 Bl.,Wilhelm Meister-Verlag Berlin
F 10466,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wilhelmi Wwe., C., Sortimentsbuch-, Kunst- und Schreibwarenhandlung, Inhaber Adolf Wilhelmi, Berleburg",,26 Bl.,"Wilhelmi Wwe., C."
F 10468,19370101,19711231,1937 - 1971,13.26 Firmen W,"Wilke, Alfred, Buch- und Lehrmittelhandlung, Leipzig",,46 Bl.,"Wilke, Alfred"
F 10469,19370101,19471231,1937 - 1947,13.26 Firmen W,"Wilkens, William, Verlag, Werbungsmittlung, Inhaber Henry Wilkens, Hamburg",,21 Bl.,"Wilkens, William"
F 10470,19370101,19501231,1937 - 1950,13.26 Firmen W,"Wilkens Verlag, Bruno, Hannover, später Winkel",,13 Bl.,"Wilkens Verlag, Bruno"
F 10471,19370101,19461231,1937 - 1946,13.26 Firmen W,"Wilkes & Sohn, Heinrich, Buchhandlung im Hauptbahnhof, späterer Inhaber Paul Schröder, Herford",,4 Bl.,"Wilkes & Sohn, Heinrich"
F 10472,19370101,19491231,1937 - 1949,13.26 Firmen W,"Will & Newig, Buch- und Kunsthandlung, Inhaber Ernst Newig, Bremen",,7 Bl.,Will & Newig Bremen
F 10473,19360101,19481231,1936 - 1948,13.26 Firmen W,"Wille, Hugo, Verlag und Grossbuchhandlung, Inhaberin Annie Wille, Berlin, später Lychen",,25 Bl.,"Wille, Hugo"
F 10475,19370101,19431231,1937 - 1943,13.26 Firmen W,"Willi, Hans, Musikalien- und Buchhandlung, Verlag, Cham (Schweiz)",,8 Bl.,"Willi, Hans"
F 10476,19370101,19381231,1937 - 1938,13.26 Firmen W,"Willi, Alfred, Buch- und Kunstantiquariat, Inhaber Dr. Alfred Albert Willi, Planegg",,4 Bl.,"Willi, Alfred"
F 10477,19370101,19501231,1937 - 1950,13.26 Firmen W,"Williams & Co. Verlag G.m.b.H., Geschäftsführerin und spätere Inhaberin Cecilie Dressler, Potsdam, später Berlin",,32 Bl.,Williams & Co. 
F 10478,19340101,19411231,1934 - 1941,13.26 Firmen W,"Williams & Norgate Ltd., Verlagsbuchhandlung, Direktor E. L. Skinner, London (Großbritannien)","Enthält u. a.: Mitteilung zur Streichung der Firma eines ""Feindstaates"" aus dem Adressbuch vom 6. November 1941",7 Bl.,Williams & Norgate
F 10479,19370101,19461231,1937 - 1946,13.26 Firmen W,"Willibrord-Buchhandlung, Geschäftsführer Erwin Kreuzer, Bonn",,14 Bl.,Willibrord-Buchhandlung
F 10480,19370101,19531231,1937 - 1953,13.26 Firmen W,"Willimsky, Felix, Buch-, Musikalien- und Papierhandlung, Antiquariat, späterer Inhaber Hans Schroeder, Gleiwitz, später Sondershausen",,64 Bl.,"Willimsky, Felix"
F 10481,19370101,19481231,1937 - 1948,13.26 Firmen W,"Willimsky, Hugo, Buch- und Musikalienhandlung, Antiquariat, Reisebuchhandlung, Inhaber Carl Ritter, Oppeln, später Wangen ",,37 Bl.,"Willimsky, Hugo"
F 10482,19320101,19421231,1932 - 1942,13.26 Firmen W,"Willitsch, Gustav, Buchhandlung, Wien (Österreich)",,7 Bl.,"Willitsch, Gustav"
F 10483,19370101,19401231,1937 - 1940,13.26 Firmen W,"Willnow, Rudolf, Buch-, Papier- und Schreibwarenhandlung, Oldenburg",,6 Bl.,"Willnow, Rudolf"
F 10484,19380101,19441231,1938 - 1944,13.26 Firmen W,"Wilpert, Arthur, Sortiments- und Verlagsbuchhandlung, Kunst-, Musikalien-, Lehrmittel- und Papierhandlung, Prokuristin Stephie Schranowski geb. Wilpert, Gross Strehlitz",,14 Bl.,"Wilpert, Arthur"
F 10485,19370101,19381231,"1937 - 1938, 1950",13.26 Firmen W,"The H. W. Wilson Company, Verlag, Direktor H. W. Wilson, New York (USA)",,4 Bl.,Wilson Company H. W. The 
F 10486,19340101,19441231,1934 - 1944,13.26 Firmen W,"Wilwers, Jos., Buch- und Papierhandlung, Inhaber Joseph Wilwers, Luxemburg (Luxemburg)",,34 Bl.,"Wilwers, Jos."
F 10487,19370101,19381231,1937 - 1938,13.26 Firmen W,"Wilzer, A. R., Buch-, Musikalien-, Papier- und Schreibwarenhandlung, Geschäftsführer Fritz Vetter, Gollnow",,5 Bl.,"Wilzer, A. R."
